date,forecast_kwh,lower_ci,upper_ci
2023-12-01,21154.85025164892,14743.3091926317,27566.391310666142
2024-01-01,21417.3535617803,12350.065240826678,30484.641882733922
2024-02-01,21584.566418195813,10479.45154988276,32689.681286508865
2024-03-01,21950.04540761032,9126.963290523441,34773.1275246972
2024-04-01,22394.83044740799,8058.188800052812,36731.472094763165
2024-05-01,22542.945912627827,6837.941854436545,38247.94997081911
2024-06-01,19438.188310805002,2474.8451494193214,36401.53147219068
2024-07-01,19786.544316546268,1651.9676753876447,37921.12095770489
2024-08-01,20093.485142682664,858.8619673464345,39328.108318018894
2024-09-01,19776.622639554484,-498.45041679496353,40051.69569590393
2024-10-01,19642.41369329882,-1622.2623254754399,40907.08971207308
2024-11-01,19596.805345709898,-2613.424390304961,41807.03508172475
2024-12-01,19596.805345709898,-3818.1456543273234,43011.75634574712
2025-01-01,19596.805345709898,-4963.8452104486205,44157.455901868416
2025-02-01,19596.805345709898,-6058.4315689887335,45252.04226040853
2025-03-01,19596.805345709898,-7108.190564360953,46301.80125578075
2025-04-01,19596.805345709898,-8118.2164288528365,47311.82712027263
2025-05-01,19596.805345709898,-9092.70593231769,48286.31662373748
2025-06-01,19596.805345709898,-10035.165273532719,49228.77596495251
2025-07-01,19596.805345709898,-10948.559412093262,50142.17010351305
2025-08-01,19596.805345709898,-11835.42228127876,51029.03297269855
2025-09-01,19596.805345709898,-12697.939722217394,51891.55041363719
2025-10-01,19596.805345709898,-13538.012963887031,52731.62365530683
2025-11-01,19596.805345709898,-14357.30795176241,53550.9186431822
